startest,,诱饵,手动触发,,2015-06-10,--&--&--&--&--&--,--&--&--&--,0.0,0.0,12.7,0.0,--&--,--
0,1,1,1,1,1,1,0,0,0,0,0,0,4
True,False,False,False,False,False,False,False,False,False,False,True,True,True
-12.6715,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.54483032227,4.57069396973,4.54452514648,4.55947875977,0.0,0.0,0
-12.671,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.53254699707,4.55726623535,4.53308105469,4.5458984375,0.0,0.0,0.0
-12.6705,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.52163696289,4.54437255859,4.52026367188,4.53369140625,0.0,0.0,0.0
-12.67,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.50881958008,4.53231811523,4.50721740723,4.52201843262,0.0,0.0,0.0
-12.6695,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49523925781,4.52087402344,4.49462890625,4.50950622559,0.0,0.0,0.0
-12.669,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48287963867,4.50805664062,4.48272705078,4.49638366699,0.0,0.0,0.0
-12.6685,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.47128295898,4.49508666992,4.47158813477,4.48417663574,0.0,0.0,0.0
-12.668,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46044921875,4.48287963867,4.4588470459,4.47227478027,0.0,0.0,0.0
-12.6675,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44770812988,4.47105407715,4.44625854492,4.46090698242,0.0,0.0,0.0
-12.667,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43458557129,4.46044921875,4.43542480469,4.45152282715,0.0,0.0,0.0
-12.6665,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46281433105,4.49401855469,4.47654724121,4.49668884277,0.0,0.0,0.0
-12.666,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58831787109,4.62036132812,4.60433959961,4.62585449219,0.0,0.0,0.0
-12.6655,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.64935302734,4.6745300293,4.64904785156,4.66606140137,0.0,0.0,0.0
-12.665,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.63645935059,4.66262817383,4.63562011719,4.6501159668,0.0,0.0,0.0
-12.6645,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.62226867676,4.64729309082,4.62226867676,4.63516235352,0.0,0.0,0.0
-12.664,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.60929870605,4.63272094727,4.60823059082,4.62173461914,0.0,0.0,0.0
-12.6635,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59541320801,4.61944580078,4.59411621094,4.60914611816,0.0,0.0,0.0
-12.663,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58160400391,4.60716247559,4.58038330078,4.59587097168,0.0,0.0,0.0
-12.6625,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.56817626953,4.59381103516,4.56817626953,4.58190917969,0.0,0.0,0.0
-12.662,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55581665039,4.58015441895,4.55619812012,4.56893920898,0.0,0.0,0.0
-12.6615,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.54437255859,4.56733703613,4.54292297363,4.5565032959,0.0,0.0,0.0
-12.661,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.53109741211,4.55535888672,4.52972412109,4.54467773438,0.0,0.0,0.0
-12.6605,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.51751708984,4.54330444336,4.51736450195,4.53186035156,0.0,0.0,0.0
-12.66,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.50561523438,4.53010559082,4.50576782227,4.51858520508,0.0,0.0,0.0
-12.6595,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49485778809,4.51721191406,4.49333190918,4.50637817383,0.0,0.0,0.0
-12.659,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48181152344,4.50561523438,4.48028564453,4.4953918457,0.0,0.0,0.0
-12.6585,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46846008301,4.49409484863,4.46815490723,4.48272705078,0.0,0.0,0.0
-12.658,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45693969727,4.48112487793,4.45663452148,4.46983337402,0.0,0.0,0.0
-12.6575,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44595336914,4.46853637695,4.44511413574,4.45747375488,0.0,0.0,0.0
-12.657,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43641662598,4.46090698242,4.43786621094,4.45297241211,0.0,0.0,0.0
-12.6565,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.4815826416,4.51477050781,4.49676513672,4.52033996582,0.0,0.0,0.0
-12.656,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.61044311523,4.64363098145,4.6248626709,4.64538574219,0.0,0.0,0.0
-12.6555,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.65019226074,4.67514038086,4.65072631836,4.66369628906,0.0,0.0,0.0
-12.655,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.63447570801,4.65858459473,4.63317871094,4.64767456055,0.0,0.0,0.0
-12.6545,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.61929321289,4.64492797852,4.61807250977,4.63333129883,0.0,0.0,0.0
-12.654,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.60494995117,4.63104248047,4.60472106934,4.619140625,0.0,0.0,0.0
-12.6535,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5922088623,4.6167755127,4.59243774414,4.60517883301,0.0,0.0,0.0
