startest,,诱饵,手动触发,,2015-06-10,--&--&--&--&--&--,--&--&--&--,0.0,0.0,8.8,0.0,--&--,--
0,1,1,1,1,1,1,0,0,0,0,0,0,4
True,False,False,False,False,False,False,False,False,False,False,True,True,True
-8.8475,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.50775146484,4.5304107666,4.50645446777,4.51988220215,0.0,0.0,0
-8.847,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.4947052002,4.51866149902,4.49333190918,4.50805664062,0.0,0.0,0.0
-8.8465,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48150634766,4.50691223145,4.48112487793,4.49569702148,0.0,0.0,0.0
-8.846,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46952819824,4.49394226074,4.46975708008,4.48272705078,0.0,0.0,0.0
-8.8455,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45869445801,4.48135375977,4.45762634277,4.47074890137,0.0,0.0,0.0
-8.845,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44610595703,4.46960449219,4.44465637207,4.45945739746,0.0,0.0,0.0
-8.8445,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43405151367,4.4605255127,4.43641662598,4.45182800293,0.0,0.0,0.0
-8.844,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.47227478027,4.50340270996,4.48707580566,4.50775146484,0.0,0.0,0.0
-8.8435,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.60105895996,4.6329498291,4.61585998535,4.63737487793,0.0,0.0,0.0
-8.843,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.6492767334,4.67575073242,4.65072631836,4.66690063477,0.0,0.0,0.0
-8.8425,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.6354675293,4.66156005859,4.63508605957,4.64958190918,0.0,0.0,0.0
-8.842,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.62142944336,4.64622497559,4.62173461914,4.63455200195,0.0,0.0,0.0
-8.8415,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.60868835449,4.63188171387,4.60739135742,4.62097167969,0.0,0.0,0.0
-8.841,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59442138672,4.61975097656,4.59320068359,4.60838317871,0.0,0.0,0.0
-8.8405,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58030700684,4.60624694824,4.58053588867,4.59457397461,0.0,0.0,0.0
-8.84,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.56802368164,4.59251403809,4.56817626953,4.58114624023,0.0,0.0,0.0
-8.8395,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55627441406,4.57939147949,4.55497741699,4.5686340332,0.0,0.0,0.0
-8.839,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.54315185547,4.56741333008,4.54162597656,4.55680847168,0.0,0.0,0.0
-8.8385,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5295715332,4.55520629883,4.52911376953,4.54376220703,0.0,0.0,0.0
-8.838,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.51759338379,4.5418548584,4.51766967773,4.53048706055,0.0,0.0,0.0
-8.8375,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.50622558594,4.52903747559,4.50492858887,4.51858520508,0.0,0.0,0.0
-8.837,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49317932129,4.51789855957,4.49180603027,4.50698852539,0.0,0.0,0.0
-8.8365,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.4799041748,4.50531005859,4.47998046875,4.49417114258,0.0,0.0,0.0
-8.836,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46838378906,4.49241638184,4.4686126709,4.48120117188,0.0,0.0,0.0
-8.8355,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45762634277,4.4800567627,4.45617675781,4.46952819824,0.0,0.0,0.0
-8.835,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44442749023,4.46891784668,4.44328308105,4.45808410645,0.0,0.0,0.0
-8.8345,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43496704102,4.46136474609,4.43740844727,4.45243835449,0.0,0.0,0.0
-8.834,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48379516602,4.51454162598,4.49897766113,4.52049255371,0.0,0.0,0.0
-8.8335,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.61311340332,4.64469909668,4.62623596191,4.6475982666,0.0,0.0,0.0
-8.833,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.64958190918,4.67681884766,4.65019226074,4.66567993164,0.0,0.0,0.0
-8.8325,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.63432312012,4.66003417969,4.6337890625,4.64775085449,0.0,0.0,0.0
-8.832,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.62127685547,4.64485168457,4.62036132812,4.63340759277,0.0,0.0,0.0
-8.8315,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.60731506348,4.63111877441,4.60594177246,4.62043762207,0.0,0.0,0.0
-8.831,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59274291992,4.61860656738,4.59190368652,4.60693359375,0.0,0.0,0.0
-8.8305,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.57939147949,4.60502624512,4.57908630371,4.59320068359,0.0,0.0,0.0
-8.83,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.56802368164,4.59114074707,4.56726074219,4.580078125,0.0,0.0,0.0
-8.8295,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55505371094,4.57878112793,4.55360412598,4.56825256348,0.0,0.0,0.0
