startest,,诱饵,手动触发,,2015-06-10,--&--&--&--&--&--,--&--&--&--,0.0,0.2,1.3,5.7,--&--,--
0,1,1,1,1,1,1,0,0,0,0,0,0,4
True,False,False,False,False,False,False,False,False,False,False,True,True,True
-1.2755,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59915161133,4.62356567383,4.59777832031,4.61288452148,0.0,0.0,0
-1.275,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58488464355,4.61090087891,4.58457946777,4.59945678711,0.0,0.0,0.0
-1.2745,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.57229614258,4.5970916748,4.57244873047,4.58557128906,0.0,0.0,0.0
-1.274,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.56077575684,4.58381652832,4.55947875977,4.57290649414,0.0,0.0,0.0
-1.2735,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.54696655273,4.57221984863,4.54566955566,4.56115722656,0.0,0.0,0.0
-1.273,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5337677002,4.55940246582,4.5336151123,4.54734802246,0.0,0.0,0.0
-1.2725,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.52270507812,4.5458984375,4.52201843262,4.53491210938,0.0,0.0,0.0
-1.272,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.51019287109,4.5336151123,4.50866699219,4.52331542969,0.0,0.0,0.0
-1.2715,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49661254883,4.52217102051,4.4962310791,4.51080322266,0.0,0.0,0.0
-1.271,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.4847869873,4.50912475586,4.48486328125,4.49783325195,0.0,0.0,0.0
-1.2705,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.47380065918,4.4962310791,4.47242736816,4.48585510254,0.0,0.0,0.0
-1.27,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46090698242,4.48501586914,4.45953369141,4.47448730469,0.0,0.0,0.0
-1.2695,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44778442383,4.47303771973,4.44755554199,4.46159362793,0.0,0.0,0.0
-1.269,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.4367980957,4.45999145508,4.43687438965,4.44961547852,0.0,0.0,0.0
-1.2685,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45281982422,4.48173522949,4.46357727051,4.48448181152,0.0,0.0,0.0
-1.268,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5694732666,4.6044921875,4.58686828613,4.61090087891,0.0,0.0,0.0
-1.2675,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.65019226074,4.67559814453,4.65034484863,4.66400146484,0.0,0.0,0.0
-1.267,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.64042663574,4.66354370117,4.63851928711,4.65202331543,0.0,0.0,0.0
-1.2665,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.62448120117,4.64973449707,4.62303161621,4.63821411133,0.0,0.0,0.0
-1.266,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.60968017578,4.63562011719,4.60952758789,4.62364196777,0.0,0.0,0.0
-1.2655,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59701538086,4.62120056152,4.59686279297,4.60968017578,0.0,0.0,0.0
-1.265,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58435058594,4.60784912109,4.58312988281,4.59754943848,0.0,0.0,0.0
-1.2645,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.57023620605,4.59594726562,4.56924438477,4.58435058594,0.0,0.0,0.0
-1.264,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55764770508,4.58267211914,4.55772399902,4.57054138184,0.0,0.0,0.0
-1.2635,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5458984375,4.56893920898,4.54483032227,4.55810546875,0.0,0.0,0.0
-1.263,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.53254699707,4.55696105957,4.53132629395,4.54627990723,0.0,0.0,0.0
-1.2625,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5191192627,4.54467773438,4.51919555664,4.53323364258,0.0,0.0,0.0
-1.262,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.50752258301,4.53147888184,4.50744628906,4.52056884766,0.0,0.0,0.0
-1.2615,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49600219727,4.51934814453,4.49462890625,4.50897216797,0.0,0.0,0.0
-1.261,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48249816895,4.50790405273,4.48165893555,4.49661254883,0.0,0.0,0.0
-1.2605,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.47059631348,4.49516296387,4.47067260742,4.48356628418,0.0,0.0,0.0
-1.26,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45960998535,4.48211669922,4.45846557617,4.47158813477,0.0,0.0,0.0
-1.2595,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44702148438,4.4709777832,4.44549560547,4.46044921875,0.0,0.0,0.0
-1.259,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43435668945,4.45999145508,4.43588256836,4.45106506348,0.0,0.0,0.0
-1.2585,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46670532227,4.49638366699,4.47975158691,4.49981689453,0.0,0.0,0.0
-1.258,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59167480469,4.62417602539,4.60693359375,4.63012695312,0.0,0.0,0.0
-1.2575,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.64767456055,4.67483520508,4.64935302734,4.66583251953,0.0,0.0,0.0
