startest,,鱼雷,手动触发,,2015-06-03,--&-0.09&--&--&--&--,--&--&--&--,--,--,0.2,0.2,--&--,--
0,1,1,1,1,1,1,0,0,0,0,0,0,1
True,False,True,False,False,False,False,False,False,False,False,False,False,False
0.0,-0.1013,-0.115309475708,-0.1013,-0.1013,-0.1013,-0.1013,4.45915222168,4.48318481445,4.45724487305,4.47242736816,0.0,0.0,0
0.0005,-0.1013,-0.0936133850098,-0.1013,-0.1013,-0.1013,-0.1013,4.44488525391,4.46937561035,4.44496154785,4.45762634277,0.0,0.0,0.0
0.001,-0.1013,-0.107918499756,-0.1013,-0.1013,-0.1013,-0.1013,4.43305969238,4.4554901123,4.43145751953,4.44549560547,0.0,0.0,0.0
0.0015,-0.1013,-0.115547894287,-0.1013,-0.1013,-0.1013,-0.1013,4.4441986084,4.47555541992,4.4563293457,4.47769165039,0.0,0.0,0.0
0.002,-0.1013,-0.111733197021,-0.1013,-0.1013,-0.1013,-0.1013,4.5735168457,4.60708618164,4.59281921387,4.61608886719,0.0,0.0,0.0
0.0025,-0.1013,-0.113402127075,-0.1013,-0.1013,-0.1013,-0.1013,4.6654510498,4.69116210938,4.66377258301,4.67910766602,0.0,0.0,0.0
0.003,-0.1013,-0.113640545654,-0.1013,-0.1013,-0.1013,-0.1013,4.65148925781,4.67704772949,4.65156555176,4.66407775879,0.0,0.0,0.0
0.0035,-0.1013,-0.120554684448,-0.1013,-0.1013,-0.1013,-0.1013,4.63623046875,4.65980529785,4.6346282959,4.64897155762,0.0,0.0,0.0
0.004,-0.1013,-0.115309475708,-0.1013,-0.1013,-0.1013,-0.1013,4.61921691895,4.64530944824,4.61868286133,4.63340759277,0.0,0.0,0.0
0.0045,-0.1013,-0.110064266968,-0.1013,-0.1013,-0.1013,-0.1013,4.60586547852,4.62890625,4.60472106934,4.61769104004,0.0,0.0,0.0
0.005,-0.1013,-0.113402127075,-0.1013,-0.1013,-0.1013,-0.1013,4.59053039551,4.61540222168,4.58908081055,4.60403442383,0.0,0.0,0.0
0.0055,-0.1013,-0.115547894287,-0.1013,-0.1013,-0.1013,-0.1013,4.57565307617,4.60052490234,4.57557678223,4.58854675293,0.0,0.0,0.0
0.006,-0.1013,-0.112448452759,-0.1013,-0.1013,-0.1013,-0.1013,4.56237792969,4.58587646484,4.56085205078,4.57534790039,0.0,0.0,0.0
0.0065,-0.1013,-0.112925289917,-0.1013,-0.1013,-0.1013,-0.1013,4.54704284668,4.5726776123,4.54650878906,4.560546875,0.0,0.0,0.0
0.007,-0.1013,-0.119124172974,-0.1013,-0.1013,-0.1013,-0.1013,4.53453063965,4.55741882324,4.53338623047,4.54643249512,0.0,0.0,0.0
0.0075,-0.1013,-0.112448452759,-0.1013,-0.1013,-0.1013,-0.1013,4.51972961426,4.54467773438,4.51835632324,4.53338623047,0.0,0.0,0.0
0.008,-0.1013,-0.117932080078,-0.1013,-0.1013,-0.1013,-0.1013,4.50569152832,4.5304107666,4.50592041016,4.51858520508,0.0,0.0,0.0
0.0085,-0.1013,-0.115547894287,-0.1013,-0.1013,-0.1013,-0.1013,4.49333190918,4.51629638672,4.49157714844,4.50607299805,0.0,0.0,0.0
0.009,-0.1013,-0.107680081177,-0.1013,-0.1013,-0.1013,-0.1013,4.47807312012,4.50355529785,4.47784423828,4.49203491211,0.0,0.0,0.0
0.0095,-0.1013,-0.110779522705,-0.1013,-0.1013,-0.1013,-0.1013,4.46617126465,4.48867797852,4.4652557373,4.47799682617,0.0,0.0,0.0
0.01,-0.1013,-0.114117382813,-0.1013,-0.1013,-0.1013,-0.1013,4.45190429688,4.47647094727,4.45068359375,4.4654083252,0.0,0.0,0.0
0.0105,-0.1013,-0.118647335815,-0.1013,-0.1013,-0.1013,-0.1013,4.43794250488,4.46235656738,4.43840026855,4.45091247559,0.0,0.0,0.0
0.011,-0.1013,-0.113878964233,-0.1013,-0.1013,-0.1013,-0.1013,4.43199157715,4.45587158203,4.43328857422,4.44892883301,0.0,0.0,0.0
0.0115,-0.1013,-0.113402127075,-0.1013,-0.1013,-0.1013,-0.1013,4.49752807617,4.53216552734,4.51622009277,4.5401763916,0.0,0.0,0.0
0.012,-0.1013,-0.113163708496,-0.1013,-0.1013,-0.1013,-0.1013,4.63973999023,4.67025756836,4.65187072754,4.67086791992,0.0,0.0,0.0
0.0125,-0.1013,-0.105772732544,-0.1013,-0.1013,-0.1013,-0.1013,4.66133117676,4.68704223633,4.65873718262,4.67292785645,0.0,0.0,0.0
0.013,-0.1013,-0.110779522705,-0.1013,-0.1013,-0.1013,-0.1013,4.64317321777,4.66781616211,4.64302062988,4.6558380127,0.0,0.0,0.0
0.0135,-0.1013,-0.116024731445,-0.1013,-0.1013,-0.1013,-0.1013,4.62829589844,4.65187072754,4.62615966797,4.64126586914,0.0,0.0,0.0
0.014,-0.1013,-0.114355801392,-0.1013,-0.1013,-0.1013,-0.1013,4.61143493652,4.63760375977,4.61082458496,4.62516784668,0.0,0.0,0.0
0.0145,-0.1013,-0.113640545654,-0.1013,-0.1013,-0.1013,-0.1013,4.59861755371,4.6215057373,4.59732055664,4.61013793945,0.0,0.0,0.0
0.015,-0.1013,-0.116739987183,-0.1013,-0.1013,-0.1013,-0.1013,4.58267211914,4.60815429688,4.58145141602,4.59663391113,0.0,0.0,0.0
0.0155,-0.1013,-0.122223614502,-0.1013,-0.1013,-0.1013,-0.1013,4.56802368164,4.59281921387,4.56878662109,4.58114624023,0.0,0.0,0.0
0.016,-0.1013,-0.114355801392,-0.1013,-0.1013,-0.1013,-0.1013,4.55513000488,4.57870483398,4.55368041992,4.56848144531,0.0,0.0,0.0
0.0165,-0.1013,-0.112686871338,-0.1013,-0.1013,-0.1013,-0.1013,4.53987121582,4.56550598145,4.53948974609,4.55360412598,0.0,0.0,0.0
0.017,-0.1013,-0.106964825439,-0.1013,-0.1013,-0.1013,-0.1013,4.52758789062,4.55024719238,4.52651977539,4.53941345215,0.0,0.0,0.0
0.0175,-0.1013,-0.111256359863,-0.1013,-0.1013,-0.1013,-0.1013,4.51240539551,4.53788757324,4.51141357422,4.52644348145,0.0,0.0,0.0
