startest,,鱼雷,手动触发,,2015-06-03,--&-0.10&--&--&--&--,--&--&--&--,--,--,0.5,0.5,--&--,--
0,1,1,1,1,1,1,0,0,0,0,0,0,1
True,False,True,False,False,False,False,False,False,False,False,False,False,False
0.0,-0.1013,-0.111733197021,-0.1013,-0.1013,-0.1013,-0.1013,4.51667785645,4.54162597656,4.51667785645,4.52980041504,0.0,0.0,0
0.0005,-0.1013,-0.112686871338,-0.1013,-0.1013,-0.1013,-0.1013,4.5044708252,4.52674865723,4.50309753418,4.51614379883,0.0,0.0,0.0
0.001,-0.1013,-0.108395336914,-0.1013,-0.1013,-0.1013,-0.1013,4.48974609375,4.51454162598,4.48852539062,4.50340270996,0.0,0.0,0.0
0.0015,-0.1013,-0.110541104126,-0.1013,-0.1013,-0.1013,-0.1013,4.47578430176,4.50073242188,4.4750213623,4.48890686035,0.0,0.0,0.0
0.002,-0.1013,-0.111017941284,-0.1013,-0.1013,-0.1013,-0.1013,4.46357727051,4.48608398438,4.46250915527,4.47532653809,0.0,0.0,0.0
0.0025,-0.1013,-0.111971615601,-0.1013,-0.1013,-0.1013,-0.1013,4.44953918457,4.47395324707,4.44808959961,4.46304321289,0.0,0.0,0.0
0.003,-0.1013,-0.119124172974,-0.1013,-0.1013,-0.1013,-0.1013,4.43534851074,4.46014404297,4.43489074707,4.44847106934,0.0,0.0,0.0
0.0035,-0.1013,-0.113163708496,-0.1013,-0.1013,-0.1013,-0.1013,4.43412780762,4.45785522461,4.4367980957,4.45243835449,0.0,0.0,0.0
0.004,-0.1013,-0.114594219971,-0.1013,-0.1013,-0.1013,-0.1013,4.52682495117,4.56176757812,4.54551696777,4.57130432129,0.0,0.0,0.0
0.0045,-0.1013,-0.112448452759,-0.1013,-0.1013,-0.1013,-0.1013,4.65507507324,4.68566894531,4.66285705566,4.67956542969,0.0,0.0,0.0
0.005,-0.1013,-0.109110592651,-0.1013,-0.1013,-0.1013,-0.1013,4.65637207031,4.67933654785,4.65476989746,4.66850280762,0.0,0.0,0.0
0.0055,-0.1013,-0.115547894287,-0.1013,-0.1013,-0.1013,-0.1013,4.63966369629,4.66445922852,4.63768005371,4.65286254883,0.0,0.0,0.0
0.006,-0.1013,-0.121508358765,-0.1013,-0.1013,-0.1013,-0.1013,4.62295532227,4.64889526367,4.62242126465,4.63668823242,0.0,0.0,0.0
0.0065,-0.1013,-0.120316265869,-0.1013,-0.1013,-0.1013,-0.1013,4.60929870605,4.63264465332,4.60845947266,4.62120056152,0.0,0.0,0.0
0.007,-0.1013,-0.111017941284,-0.1013,-0.1013,-0.1013,-0.1013,4.59434509277,4.61807250977,4.59266662598,4.60754394531,0.0,0.0,0.0
0.0075,-0.1013,-0.115547894287,-0.1013,-0.1013,-0.1013,-0.1013,4.57870483398,4.60464477539,4.57809448242,4.59274291992,0.0,0.0,0.0
0.008,-0.1013,-0.112686871338,-0.1013,-0.1013,-0.1013,-0.1013,4.56581115723,4.5890045166,4.56504821777,4.57778930664,0.0,0.0,0.0
0.0085,-0.1013,-0.112686871338,-0.1013,-0.1013,-0.1013,-0.1013,4.55154418945,4.57504272461,4.54971313477,4.56481933594,0.0,0.0,0.0
0.009,-0.1013,-0.118408917236,-0.1013,-0.1013,-0.1013,-0.1013,4.53636169434,4.56192016602,4.53575134277,4.55032348633,0.0,0.0,0.0
0.0095,-0.1013,-0.114355801392,-0.1013,-0.1013,-0.1013,-0.1013,4.52331542969,4.54696655273,4.52323913574,4.53567504883,0.0,0.0,0.0
0.01,-0.1013,-0.117932080078,-0.1013,-0.1013,-0.1013,-0.1013,4.51019287109,4.53338623047,4.50859069824,4.52301025391,0.0,0.0,0.0
0.0105,-0.1013,-0.119362591553,-0.1013,-0.1013,-0.1013,-0.1013,4.49523925781,4.52056884766,4.49462890625,4.50904846191,0.0,0.0,0.0
0.011,-0.1013,-0.117932080078,-0.1013,-0.1013,-0.1013,-0.1013,4.48188781738,4.50584411621,4.48204040527,4.49478149414,0.0,0.0,0.0
0.0115,-0.1013,-0.112448452759,-0.1013,-0.1013,-0.1013,-0.1013,4.46960449219,4.49211120605,4.46800231934,4.48188781738,0.0,0.0,0.0
0.012,-0.1013,-0.11483263855,-0.1013,-0.1013,-0.1013,-0.1013,4.45449829102,4.47982788086,4.45373535156,4.46838378906,0.0,0.0,0.0
0.0125,-0.1013,-0.123177288818,-0.1013,-0.1013,-0.1013,-0.1013,4.44152832031,4.46563720703,4.44160461426,4.4539642334,0.0,0.0,0.0
0.013,-0.1013,-0.115547894287,-0.1013,-0.1013,-0.1013,-0.1013,4.43046569824,4.45404052734,4.4319152832,4.44610595703,0.0,0.0,0.0
0.0135,-0.1013,-0.115309475708,-0.1013,-0.1013,-0.1013,-0.1013,4.4686126709,4.50149536133,4.48356628418,4.50721740723,0.0,0.0,0.0
0.014,-0.1013,-0.0969512451172,-0.1013,-0.1013,-0.1013,-0.1013,4.60906982422,4.64317321777,4.62669372559,4.64805603027,0.0,0.0,0.0
0.0145,-0.1013,-0.110779522705,-0.1013,-0.1013,-0.1013,-0.1013,4.66217041016,4.68727111816,4.66331481934,4.67796325684,0.0,0.0,0.0
0.015,-0.1013,-0.114355801392,-0.1013,-0.1013,-0.1013,-0.1013,4.64561462402,4.67178344727,4.64469909668,4.65965270996,0.0,0.0,0.0
0.0155,-0.1013,-0.115071057129,-0.1013,-0.1013,-0.1013,-0.1013,4.63005065918,4.6549987793,4.62989807129,4.64302062988,0.0,0.0,0.0
0.016,-0.1013,-0.113163708496,-0.1013,-0.1013,-0.1013,-0.1013,4.61608886719,4.63890075684,4.61433410645,4.62783813477,0.0,0.0,0.0
0.0165,-0.1013,-0.114117382813,-0.1013,-0.1013,-0.1013,-0.1013,4.60006713867,4.62524414062,4.59869384766,4.61395263672,0.0,0.0,0.0
0.017,-0.1013,-0.118170498657,-0.1013,-0.1013,-0.1013,-0.1013,4.5849609375,4.61051940918,4.58435058594,4.59838867188,0.0,0.0,0.0
0.0175,-0.1013,-0.11221003418,-0.1013,-0.1013,-0.1013,-0.1013,4.57214355469,4.59503173828,4.5711517334,4.58389282227,0.0,0.0,0.0
