startest,,鱼雷,手动触发,,2015-06-03,--&-0.09&--&--&--&--,--&--&--&--,--,--,12.2,12.2,--&--,--
0,1,1,1,1,1,1,0,0,0,0,0,0,1
True,False,True,False,False,False,False,False,False,False,False,False,False,False
0.0,-0.1013,-0.117216824341,-0.1013,-0.1013,-0.1013,-0.1013,4.45594787598,4.47891235352,4.45541381836,4.46800231934,0.0,0.0,0
0.0005,-0.1013,-0.118885754395,-0.1013,-0.1013,-0.1013,-0.1013,4.44160461426,4.46662902832,4.44068908691,4.4554901123,0.0,0.0,0.0
0.001,-0.1013,-0.123177288818,-0.1013,-0.1013,-0.1013,-0.1013,4.43023681641,4.45350646973,4.43138122559,4.44549560547,0.0,0.0,0.0
0.0015,-0.1013,-0.116739987183,-0.1013,-0.1013,-0.1013,-0.1013,4.47135925293,4.50469970703,4.48722839355,4.5108795166,0.0,0.0,0.0
0.002,-0.1013,-0.11483263855,-0.1013,-0.1013,-0.1013,-0.1013,4.6183013916,4.65072631836,4.63485717773,4.6565246582,0.0,0.0,0.0
0.0025,-0.1013,-0.108395336914,-0.1013,-0.1013,-0.1013,-0.1013,4.66697692871,4.69451904297,4.66873168945,4.68338012695,0.0,0.0,0.0
0.003,-0.1013,-0.117932080078,-0.1013,-0.1013,-0.1013,-0.1013,4.6524810791,4.67559814453,4.65049743652,4.66445922852,0.0,0.0,0.0
0.0035,-0.1013,-0.113163708496,-0.1013,-0.1013,-0.1013,-0.1013,4.63455200195,4.6607208252,4.63401794434,4.64828491211,0.0,0.0,0.0
0.004,-0.1013,-0.113163708496,-0.1013,-0.1013,-0.1013,-0.1013,4.62089538574,4.64447021484,4.61898803711,4.63363647461,0.0,0.0,0.0
0.0045,-0.1013,-0.115071057129,-0.1013,-0.1013,-0.1013,-0.1013,4.60441589355,4.62997436523,4.60433959961,4.61776733398,0.0,0.0,0.0
0.005,-0.1013,-0.111256359863,-0.1013,-0.1013,-0.1013,-0.1013,4.59106445312,4.61479187012,4.58908081055,4.60433959961,0.0,0.0,0.0
0.0055,-0.1013,-0.116978405762,-0.1013,-0.1013,-0.1013,-0.1013,4.57572937012,4.60075378418,4.57595825195,4.58885192871,0.0,0.0,0.0
0.006,-0.1013,-0.119839428711,-0.1013,-0.1013,-0.1013,-0.1013,4.56237792969,4.58656311035,4.56062316895,4.57588195801,0.0,0.0,0.0
0.0065,-0.1013,-0.116978405762,-0.1013,-0.1013,-0.1013,-0.1013,4.54742431641,4.57183837891,4.54772949219,4.56016540527,0.0,0.0,0.0
0.007,-0.1013,-0.114594219971,-0.1013,-0.1013,-0.1013,-0.1013,4.5337677002,4.55879211426,4.53254699707,4.54750061035,0.0,0.0,0.0
0.0075,-0.1013,-0.116024731445,-0.1013,-0.1013,-0.1013,-0.1013,4.52049255371,4.54383850098,4.51988220215,4.53262329102,0.0,0.0,0.0
0.008,-0.1013,-0.115309475708,-0.1013,-0.1013,-0.1013,-0.1013,4.50584411621,4.53125,4.50477600098,4.51965332031,0.0,0.0,0.0
0.0085,-0.1013,-0.119362591553,-0.1013,-0.1013,-0.1013,-0.1013,4.49348449707,4.51622009277,4.49226379395,4.50538635254,0.0,0.0,0.0
0.009,-0.1013,-0.119601010132,-0.1013,-0.1013,-0.1013,-0.1013,4.47830200195,4.50378417969,4.47792053223,4.49226379395,0.0,0.0,0.0
0.0095,-0.1013,-0.125799893188,-0.1013,-0.1013,-0.1013,-0.1013,4.46655273438,4.48883056641,4.46510314941,4.4783782959,0.0,0.0,0.0
0.01,-0.1013,-0.113402127075,-0.1013,-0.1013,-0.1013,-0.1013,4.45121765137,4.47624206543,4.45114135742,4.46472167969,0.0,0.0,0.0
0.0105,-0.1013,-0.113878964233,-0.1013,-0.1013,-0.1013,-0.1013,4.43962097168,4.4620513916,4.43771362305,4.45205688477,0.0,0.0,0.0
0.011,-0.1013,-0.106964825439,-0.1013,-0.1013,-0.1013,-0.1013,4.43069458008,4.45701599121,4.43336486816,4.44847106934,0.0,0.0,0.0
0.0115,-0.1013,-0.11221003418,-0.1013,-0.1013,-0.1013,-0.1013,4.50691223145,4.54010009766,4.52522277832,4.55039978027,0.0,0.0,0.0
0.012,-0.1013,-0.116739987183,-0.1013,-0.1013,-0.1013,-0.1013,4.64790344238,4.67979431152,4.66041564941,4.67864990234,0.0,0.0,0.0
0.0125,-0.1013,-0.119839428711,-0.1013,-0.1013,-0.1013,-0.1013,4.66438293457,4.6875,4.66026306152,4.67597961426,0.0,0.0,0.0
0.013,-0.1013,-0.119839428711,-0.1013,-0.1013,-0.1013,-0.1013,4.64584350586,4.67063903809,4.64569091797,4.65873718262,0.0,0.0,0.0
0.0135,-0.1013,-0.120793103027,-0.1013,-0.1013,-0.1013,-0.1013,4.6305847168,4.65576171875,4.62867736816,4.64408874512,0.0,0.0,0.0
0.014,-0.1013,-0.112448452759,-0.1013,-0.1013,-0.1013,-0.1013,4.61479187012,4.63935852051,4.61494445801,4.62791442871,0.0,0.0,0.0
0.0145,-0.1013,-0.119839428711,-0.1013,-0.1013,-0.1013,-0.1013,4.59976196289,4.62562561035,4.59846496582,4.61380004883,0.0,0.0,0.0
0.015,-0.1013,-0.118170498657,-0.1013,-0.1013,-0.1013,-0.1013,4.58656311035,4.60975646973,4.58549499512,4.59854125977,0.0,0.0,0.0
0.0155,-0.1013,-0.118408917236,-0.1013,-0.1013,-0.1013,-0.1013,4.57069396973,4.59655761719,4.57000732422,4.58480834961,0.0,0.0,0.0
0.016,-0.1013,-0.111256359863,-0.1013,-0.1013,-0.1013,-0.1013,4.5581817627,4.58114624023,4.55665588379,4.57008361816,0.0,0.0,0.0
0.0165,-0.1013,-0.119362591553,-0.1013,-0.1013,-0.1013,-0.1013,4.54231262207,4.56802368164,4.54177856445,4.55612182617,0.0,0.0,0.0
0.017,-0.1013,-0.123654125977,-0.1013,-0.1013,-0.1013,-0.1013,4.53010559082,4.55322265625,4.52850341797,4.54277038574,0.0,0.0,0.0
0.0175,-0.1013,-0.111256359863,-0.1013,-0.1013,-0.1013,-0.1013,4.51484680176,4.54010009766,4.51461791992,4.52812194824,0.0,0.0,0.0
