startest,,诱饵,手动触发,,2015-06-10,--&--&--&--&--&--,--&--&--&--,-1.3,0.2,1.3,5.1,--&--,--
0,1,1,1,1,1,1,0,0,0,0,0,0,4
True,False,False,False,False,False,False,False,False,False,False,True,True,True
-1.2535,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49645996094,4.52209472656,4.49645996094,4.51080322266,0.0,0.0,0
-1.253,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48463439941,4.50904846191,4.48501586914,4.49775695801,0.0,0.0,0.0
-1.2525,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.47387695312,4.49645996094,4.47257995605,4.48585510254,0.0,0.0,0.0
-1.252,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46128845215,4.48455810547,4.4596862793,4.47448730469,0.0,0.0,0.0
-1.2515,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44816589355,4.47334289551,4.44747924805,4.46228027344,0.0,0.0,0.0
-1.251,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43634033203,4.46083068848,4.43641662598,4.44999694824,0.0,0.0,0.0
-1.2505,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45281982422,4.48150634766,4.46426391602,4.48379516602,0.0,0.0,0.0
-1.25,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.57084655762,4.60411071777,4.58755493164,4.61135864258,0.0,0.0,0.0
-1.2495,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.6501159668,4.67628479004,4.6492767334,4.66461181641,0.0,0.0,0.0
-1.249,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.63890075684,4.66438293457,4.63813781738,4.65187072754,0.0,0.0,0.0
-1.2485,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.62501525879,4.64866638184,4.62379455566,4.63706970215,0.0,0.0,0.0
-1.248,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.61090087891,4.63478088379,4.60975646973,4.62356567383,0.0,0.0,0.0
-1.2475,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59678649902,4.62188720703,4.59564208984,4.61067199707,0.0,0.0,0.0
-1.247,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58274841309,4.60876464844,4.58229064941,4.59693908691,0.0,0.0,0.0
-1.2465,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.57015991211,4.59510803223,4.5703125,4.5832824707,0.0,0.0,0.0
-1.246,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55863952637,4.58160400391,4.55757141113,4.57054138184,0.0,0.0,0.0
-1.2455,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.54536437988,4.56939697266,4.54399108887,4.55902099609,0.0,0.0,0.0
-1.245,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.53186035156,4.5573425293,4.53125,4.54605102539,0.0,0.0,0.0
-1.2445,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.51934814453,4.54460144043,4.51904296875,4.53262329102,0.0,0.0,0.0
-1.244,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.50836181641,4.53140258789,4.50744628906,4.52011108398,0.0,0.0,0.0
-1.2435,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49607849121,4.5189666748,4.49478149414,4.50836181641,0.0,0.0,0.0
-1.243,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48303222656,4.50775146484,4.48181152344,4.49676513672,0.0,0.0,0.0
-1.2425,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46990966797,4.49531555176,4.46990966797,4.48425292969,0.0,0.0,0.0
-1.242,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45831298828,4.48257446289,4.45877075195,4.47120666504,0.0,0.0,0.0
-1.2415,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44755554199,4.47006225586,4.44679260254,4.45930480957,0.0,0.0,0.0
-1.241,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43550109863,4.45953369141,4.43634033203,4.45198059082,0.0,0.0,0.0
-1.2405,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46784973145,4.50035095215,4.48127746582,4.50386047363,0.0,0.0,0.0
-1.24,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59457397461,4.62844848633,4.61120605469,4.63218688965,0.0,0.0,0.0
-1.2395,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.64912414551,4.67384338379,4.65042114258,4.66552734375,0.0,0.0,0.0
-1.239,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.63653564453,4.66049194336,4.63455200195,4.64958190918,0.0,0.0,0.0
-1.2385,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.62112426758,4.64691162109,4.62005615234,4.63531494141,0.0,0.0,0.0
-1.238,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.60708618164,4.63279724121,4.60655212402,4.62066650391,0.0,0.0,0.0
-1.2375,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59419250488,4.61837768555,4.59403991699,4.6068572998,0.0,0.0,0.0
-1.237,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58198547363,4.60517883301,4.58045959473,4.59426879883,0.0,0.0,0.0
-1.2365,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.56832885742,4.59281921387,4.56687927246,4.58190917969,0.0,0.0,0.0
-1.236,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55444335938,4.58045959473,4.55406188965,4.56871032715,0.0,0.0,0.0
-1.2355,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.54246520996,4.56733703613,4.54223632812,4.55551147461,0.0,0.0,0.0
