startest,,诱饵,手动触发,,2015-06-10,--&--&--&--&--&--,--&--&--&--,0.0,0.0,3.3,0.0,--&--,--
0,1,1,1,1,1,1,0,0,0,0,0,0,4
True,False,False,False,False,False,False,False,False,False,False,True,True,True
-3.2955,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.52995300293,4.55535888672,4.52964782715,4.54345703125,0.0,0.0,0
-3.295,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5182800293,4.54193115234,4.51812744141,4.53079223633,0.0,0.0,0.0
-3.2945,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.50668334961,4.52964782715,4.50531005859,4.51881408691,0.0,0.0,0.0
-3.294,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49363708496,4.5174407959,4.49234008789,4.50729370117,0.0,0.0,0.0
-3.2935,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48043823242,4.5059967041,4.48013305664,4.4947052002,0.0,0.0,0.0
-3.293,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46838378906,4.49348449707,4.46800231934,4.48196411133,0.0,0.0,0.0
-3.2925,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45747375488,4.48036193848,4.45709228516,4.46952819824,0.0,0.0,0.0
-3.292,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.4457244873,4.46838378906,4.44442749023,4.45755004883,0.0,0.0,0.0
-3.2915,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43557739258,4.4612121582,4.4367980957,4.45297241211,0.0,0.0,0.0
-3.291,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48028564453,4.51354980469,4.49584960938,4.51866149902,0.0,0.0,0.0
-3.2905,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.61067199707,4.64225769043,4.62509155273,4.64500427246,0.0,0.0,0.0
-3.29,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.6501159668,4.6753692627,4.65072631836,4.66438293457,0.0,0.0,0.0
-3.2895,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.63455200195,4.65965270996,4.63279724121,4.64836120605,0.0,0.0,0.0
-3.289,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.61921691895,4.64553833008,4.61868286133,4.63340759277,0.0,0.0,0.0
-3.2885,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.60578918457,4.6312713623,4.60578918457,4.61906433105,0.0,0.0,0.0
-3.288,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59358215332,4.61700439453,4.59251403809,4.60578918457,0.0,0.0,0.0
-3.2875,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58015441895,4.60395812988,4.57908630371,4.59320068359,0.0,0.0,0.0
-3.287,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5662689209,4.59182739258,4.5654296875,4.58053588867,0.0,0.0,0.0
-3.2865,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55307006836,4.57885742188,4.55261230469,4.56726074219,0.0,0.0,0.0
-3.286,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.54078674316,4.56565856934,4.54109191895,4.55390930176,0.0,0.0,0.0
-3.2855,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5295715332,4.5524597168,4.52857971191,4.54162597656,0.0,0.0,0.0
-3.285,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.51675415039,4.5401763916,4.51553344727,4.53010559082,0.0,0.0,0.0
-3.2845,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.50309753418,4.52857971191,4.50256347656,4.5174407959,0.0,0.0,0.0
-3.284,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49081420898,4.51614379883,4.4905090332,4.50439453125,0.0,0.0,0.0
-3.2835,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.4792175293,4.50317382812,4.47929382324,4.49180603027,0.0,0.0,0.0
-3.283,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46800231934,4.49066162109,4.46662902832,4.48013305664,0.0,0.0,0.0
-3.2825,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45533752441,4.47875976562,4.45373535156,4.46838378906,0.0,0.0,0.0
-3.282,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44221496582,4.46754455566,4.44175720215,4.45625305176,0.0,0.0,0.0
-3.2815,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43664550781,4.46266174316,4.43923950195,4.45419311523,0.0,0.0,0.0
-3.281,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.50248718262,4.53430175781,4.51934814453,4.54154968262,0.0,0.0,0.0
-3.2805,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.62890625,4.65896606445,4.63897705078,4.65881347656,0.0,0.0,0.0
-3.28,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.64805603027,4.67361450195,4.64546203613,4.6598815918,0.0,0.0,0.0
-3.2795,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.63096618652,4.65690612793,4.63073730469,4.64492797852,0.0,0.0,0.0
-3.279,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.6174621582,4.6418762207,4.61715698242,4.63035583496,0.0,0.0,0.0
-3.2785,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.60464477539,4.62791442871,4.60311889648,4.6167755127,0.0,0.0,0.0
-3.278,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5906829834,4.6150970459,4.58915710449,4.60418701172,0.0,0.0,0.0
-3.2775,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.57649230957,4.60258483887,4.57580566406,4.5906829834,0.0,0.0,0.0
