startest,,诱饵,手动触发,,2015-06-10,--&--&--&--&--&--,--&--&--&--,0.0,0.0,10.9,0.0,--&--,--
0,1,1,1,1,1,1,0,0,0,0,0,0,4
True,False,False,False,False,False,False,False,False,False,False,True,True,True
-10.9115,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.60014343262,4.62516784668,4.60052490234,4.6134185791,0.0,0.0,0
-10.911,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5881652832,4.61135864258,4.58679199219,4.6004486084,0.0,0.0,0.0
-10.9105,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.57389831543,4.59922790527,4.57290649414,4.58793640137,0.0,0.0,0.0
-10.91,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.56039428711,4.58625793457,4.56031799316,4.5743560791,0.0,0.0,0.0
-10.9095,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.54925537109,4.57260131836,4.54849243164,4.56130981445,0.0,0.0,0.0
-10.909,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.53651428223,4.55986022949,4.53498840332,4.54978942871,0.0,0.0,0.0
-10.9085,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.52270507812,4.54849243164,4.52224731445,4.53681945801,0.0,0.0,0.0
-10.908,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.51042175293,4.53498840332,4.51095581055,4.52362060547,0.0,0.0,0.0
-10.9075,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49966430664,4.52224731445,4.49813842773,4.51171875,0.0,0.0,0.0
-10.907,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48623657227,4.51110839844,4.4849395752,4.50019836426,0.0,0.0,0.0
-10.9065,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.47341918945,4.49859619141,4.47334289551,4.48684692383,0.0,0.0,0.0
-10.906,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.462890625,4.48554992676,4.46189880371,4.47471618652,0.0,0.0,0.0
-10.9055,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45045471191,4.4734954834,4.44877624512,4.46357727051,0.0,0.0,0.0
-10.905,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43725585938,4.46243286133,4.4367980957,4.45129394531,0.0,0.0,0.0
-10.9045,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44366455078,4.47204589844,4.4539642334,4.47250366211,0.0,0.0,0.0
-10.904,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55467224121,4.58755493164,4.57183837891,4.59564208984,0.0,0.0,0.0
-10.9035,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.64988708496,4.67781066895,4.65118408203,4.66667175293,0.0,0.0,0.0
-10.903,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.64096069336,4.66682434082,4.64149475098,4.65438842773,0.0,0.0,0.0
-10.9025,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.62753295898,4.6509552002,4.62623596191,4.63989257812,0.0,0.0,0.0
-10.902,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.61296081543,4.63768005371,4.61128234863,4.6265411377,0.0,0.0,0.0
-10.9015,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59823608398,4.62440490723,4.59815979004,4.61242675781,0.0,0.0,0.0
-10.901,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58595275879,4.60998535156,4.58557128906,4.59884643555,0.0,0.0,0.0
-10.9005,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.57344055176,4.59693908691,4.57206726074,4.58679199219,0.0,0.0,0.0
-10.9,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55947875977,4.58518981934,4.55856323242,4.57359313965,0.0,0.0,0.0
-10.8995,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.54696655273,4.57191467285,4.5467376709,4.55986022949,0.0,0.0,0.0
-10.899,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.53552246094,4.55833435059,4.53422546387,4.5475769043,0.0,0.0,0.0
-10.8985,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.52255249023,4.54681396484,4.52102661133,4.53605651855,0.0,0.0,0.0
-10.898,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.50897216797,4.53430175781,4.50866699219,4.52285766602,0.0,0.0,0.0
-10.8975,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49806213379,4.52125549316,4.49722290039,4.51019287109,0.0,0.0,0.0
-10.897,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48547363281,4.50889587402,4.48425292969,4.49867248535,0.0,0.0,0.0
-10.8965,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.47204589844,4.49768066406,4.47151184082,4.48616027832,0.0,0.0,0.0
-10.896,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.4605255127,4.4847869873,4.4603729248,4.47334289551,0.0,0.0,0.0
-10.8955,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44969177246,4.47212219238,4.44847106934,4.46136474609,0.0,0.0,0.0
-10.895,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43649291992,4.46105957031,4.43542480469,4.4507598877,0.0,0.0,0.0
-10.8945,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44931030273,4.48028564453,4.46098327637,4.48104858398,0.0,0.0,0.0
-10.894,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.56726074219,4.59976196289,4.58427429199,4.6068572998,0.0,0.0,0.0
-10.8935,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.65087890625,4.67597961426,4.64935302734,4.66499328613,0.0,0.0,0.0
